IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.2,40:52.9,0,1.703500748,2.695999146,23.22840691,0.02373888,0.001012192
192.168.0.1,41:42.0,0,2.066373825,8.792848587,120.7678318,0.007278642,-0.001451883
192.168.0.2,45:52.9,0,1.689910889,3.889670372,65.70911407,0.016453836,-0.000767603
192.168.0.1,46:42.0,0,2.094984055,5.388946533,102.0057201,0.011876162,-0.001241331
192.168.0.1,50:52.9,0,1.940727234,3.925991058,64.60380554,0.016301616,0.004645786
192.168.0.2,51:42.0,0,1.307964325,4.570503235,83.9908123,0.014002834,0.004536533
192.168.0.2,55:52.7,0,1.725435257,4.205899239,91.55702591,0.015216722,-0.002257833
192.168.0.1,56:41.8,0,2.133846283,6.860527992,105.5085659,0.009328728,-0.004073696
192.168.0.2,00:53.5,0,1.687526703,2.368822098,8.499622345,0.027017647,0.001422529
192.168.0.1,01:42.6,0,2.116203308,5.77457428,95.09730339,0.011083068,0.006469707
192.168.0.1,10:53.4,0,2.018690109,5.310997963,82.08537102,0.012050466,-0.001371527
192.168.0.2,11:42.4,0,1.746177673,3.633961678,53.41053009,0.017611633,0.003384953
192.168.0.2,15:53.1,0,1.730203629,4.091777802,62.90268898,0.015641123,0.000190182
192.168.0.1,16:42.3,0,2.009391785,26.42572403,1076.632023,0.002421883,-0.042442055
192.168.0.1,20:53.2,0,1.850605011,5.790257454,68.94350052,0.011053049,0.000101767
192.168.0.2,21:42.3,0,1.524448395,2.484526634,15.01226425,0.025759434,0.002222376
192.168.0.2,25:53.0,0,1.709938049,4.194979668,77.36444473,0.015256331,-0.002088881
192.168.0.1,26:42.1,0,2.116680145,4.986162186,88.86766434,0.012835523,-0.000745745
192.168.0.1,30:52.8,0,2.132177353,6.133098602,95.63326836,0.010435182,0.006564112
192.168.0.2,31:41.9,0,1.722812653,3.083958626,39.82925415,0.020752548,0.003086367
192.168.0.2,35:52.8,0,1.60241127,3.011684418,37.82320023,0.021250567,0.002616158
192.168.0.1,36:41.9,0,2.037525177,5.089726448,77.58879662,0.01257435,-0.003384342
192.168.0.2,40:53.1,0,1.755475998,2.387237549,7.827043533,0.02680923,0.001867895
192.168.0.1,41:42.2,0,2.116441727,6.208806038,84.48576927,0.01030794,-0.000415077
192.168.0.2,45:52.8,0,1.722335815,2.902526855,34.81578827,0.022049753,0.000462351
192.168.0.1,46:41.9,0,1.896381378,4.959578514,79.21266556,0.012904322,-0.003085976
192.168.0.2,50:52.6,0,1.748085022,2.948551178,19.71745491,0.021705575,0.002591906
192.168.0.1,51:41.7,0,2.149343491,6.603937149,86.38358116,0.009691189,-0.002714252
192.168.0.2,55:52.6,0,1.611948013,2.295541763,5.004882813,0.027880129,0.001565037
